Angle,Radians,X,Y
0,0,1,0
30,0.523598776,0.866025404,0.5
45,0.785398163,0.707106781,0.707106781
60,1.047197551,0.5,0.866025404
90,1.570796327,6.12574e-17,1
120,2.094395102,-0.5,0.866025404
135,2.35619449,-0.707106781,0.707106781
150,2.617993878,-0.866025404,0.5
180,3.141592654,-1,1.22515e-16
210,3.665191429,-0.866025404,-0.5
225,3.926990817,-0.707106781,-0.707106781
240,4.188790205,-0.5,-0.866025404
270,4.71238898,-1.83772e-16,-1
300,5.235987756,0.5,-0.866025404
315,5.497787144,0.707106781,-0.707106781
330,5.759586532,0.866025404,-0.5
360,6.283185307,1,-2.4503e-16
